SNO	:RATINGS	:FEEDBACKS
1)	:***		:I really liked the ease which has been provided by this store
2)	:***		:I am satisfied by the affordable prices
3)	:***		:The membership here is insane dude!
4)	:**		:I suppose that there could be more variety of products
5)	:**		:I think their online payment procedure is really up to-date
6)	:***		:Remarkable customer service! Will defintely shop again
7)	:***		:Found the products that I was looking for, Thank you FHEMV
8)	:***		:The products arrived on time and the packaging was super nice.
9)	:**		:I love how easy it is to shop from FHEMV, always my go-to for groceries.
10)	:***		:very convenient and easy to use
11)	:***		:Their service is very promising and I always find what I come looking for!
12)	:**		:good system
